src/benchmark/BenchmarkSuite.ts(17,63): error TS2339: Property 'workspacePath' does not exist on type 'WorkspaceManager'.
src/intelligence/RepositoryIntelligenceEngine.ts(6,33): error TS1484: 'KnowledgeGraph' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/intelligence/RepositoryIntelligenceEngine.ts(8,10): error TS1484: 'Fact' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/intelligence/adapters/MockLLMAdapter.ts(1,10): error TS1484: 'LLMAdapter' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/intelligence/engines/ArchitectureEvolutionEngine.ts(1,10): error TS1484: 'LLMAdapter' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/intelligence/engines/ArchitectureEvolutionEngine.ts(3,10): error TS1484: 'ArchitecturalEvent' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/intelligence/engines/ArchitectureEvolutionEngine.ts(4,10): error TS1484: 'Fact' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/intelligence/engines/ChangeClassifier.ts(1,10): error TS1484: 'LLMAdapter' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/intelligence/engines/ChangeClassifier.ts(3,10): error TS1484: 'SemanticEvent' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/intelligence/engines/ChangeClassifier.ts(4,10): error TS1484: 'Fact' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/intelligence/engines/KnowledgeGraphBuilder.ts(1,10): error TS1484: 'SemanticEvent' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/intelligence/engines/KnowledgeGraphBuilder.ts(1,25): error TS1484: 'ArchitecturalEvent' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/intelligence/engines/KnowledgeGraphBuilder.ts(2,10): error TS1484: 'Fact' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/intelligence/engines/OtherEngines.ts(1,10): error TS1484: 'LLMAdapter' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/intelligence/engines/OtherEngines.ts(3,10): error TS1484: 'Fact' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/intelligence/engines/SummaryGenerator.ts(1,10): error TS1484: 'LLMAdapter' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/intelligence/engines/SummaryGenerator.ts(3,10): error TS1484: 'KnowledgeGraph' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/kernel/ProjectMindKernel.ts(1,32): error TS1484: 'ProjectMindConfig' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/kernel/ProjectMindKernel.ts(7,10): error TS1484: 'Service' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/kernel/RecoveryManager.ts(9,39): error TS2339: Property 'workspacePath' does not exist on type 'WorkspaceManager'.
src/memory/CoreEngines.ts(1,10): error TS1484: 'KnowledgeGraph' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/memory/CoreEngines.ts(2,10): error TS1484: 'Fact' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/memory/HistoryEngines.ts(1,10): error TS1484: 'SemanticEvent' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/memory/HistoryEngines.ts(1,25): error TS1484: 'ArchitecturalEvent' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/memory/MemoryEngineService.ts(1,10): error TS1484: 'Service' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/memory/MemoryEngineService.ts(7,10): error TS1484: 'KnowledgeGraph' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/memory/OptimizationEngines.ts(1,10): error TS1484: 'KnowledgeGraph' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/memory/ValidationEngines.ts(1,10): error TS1484: 'KnowledgeGraph' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/plugins/CapabilityRegistry.ts(1,10): error TS1484: 'Plugin' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/plugins/DependencyResolver.ts(1,10): error TS1484: 'PluginManifest' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/plugins/PluginManifest.ts(101,51): error TS2339: Property 'errors' does not exist on type 'ZodError<{ name: string; id: string; description: string; author: string; version: string; projectMindVersion: string; dependencies?: Record<string, string> | undefined; optionalDependencies?: Record<...> | undefined; ... 5 more ...; documentation?: string | undefined; }>'.
src/plugins/PluginManifest.ts(101,62): error TS7006: Parameter 'e' implicitly has an 'any' type.
src/plugins/PluginRuntime.ts(1,10): error TS1484: 'Plugin' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/plugins/PluginRuntime.ts(2,10): error TS1484: 'PluginManifest' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/registry/ServiceRegistry.ts(1,10): error TS1484: 'Service' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/research/ResearchLayerService.ts(3,10): error TS1484: 'Service' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/research/ResearchLayerService.ts(12,10): error TS1484: 'TrainingSample' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/research/analytics/DatasetAnalytics.ts(1,10): error TS1484: 'TrainingSample' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/research/analytics/DatasetAnalytics.ts(1,26): error TS1484: 'DatasetManifest' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/research/builder/SampleBuilder.ts(1,10): error TS1484: 'ResearchEvent' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/research/builder/SampleBuilder.ts(1,25): error TS1484: 'TrainingSample' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/research/collector/EventCollector.ts(3,10): error TS1484: 'ResearchEvent' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/research/collector/EventJournal.ts(3,10): error TS1484: 'ResearchEvent' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/research/storage/DatasetManager.ts(30,5): error TS2322: Type 'string | undefined' is not assignable to type 'string'.
  Type 'undefined' is not assignable to type 'string'.
src/research/storage/DatasetManager.ts(34,36): error TS2345: Argument of type 'string | undefined' is not assignable to parameter of type 'string'.
  Type 'undefined' is not assignable to type 'string'.
src/research/validators/DatasetValidator.ts(1,10): error TS1484: 'TrainingSample' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/research/validators/DatasetValidator.ts(9,51): error TS2339: Property 'errors' does not exist on type 'ZodError<{ sampleId: string; repositoryId: string; commitHash: string; timestamp: number; schemaVersion: "training_sample.v1"; lineage: { generatorVersion: string; eventHashes: string[]; }; input: { changedFiles: string[]; gitDiff?: string | undefined; architectureState?: any; knowledgeGraphSnippet?: any; repository...'.
src/research/validators/DatasetValidator.ts(9,62): error TS7006: Parameter 'e' implicitly has an 'any' type.
src/sdk/ProjectMindSDK.ts(4,10): error TS1484: 'EventListener' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/sdk/ProjectMindSDK.ts(65,41): error TS2339: Property 'workspacePath' does not exist on type 'WorkspaceManager'.
tests/context.test.ts(3,10): error TS1484: 'KnowledgeGraph' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
tests/context.test.ts(4,10): error TS1484: 'Fact' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
tests/extraction.test.ts(36,12): error TS2532: Object is possibly 'undefined'.
tests/intelligence.test.ts(5,10): error TS1484: 'Fact' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
tests/intelligence.test.ts(46,12): error TS2532: Object is possibly 'undefined'.
tests/intelligence.test.ts(47,12): error TS2532: Object is possibly 'undefined'.
tests/intelligence.test.ts(51,12): error TS2532: Object is possibly 'undefined'.
tests/kernel.test.ts(5,10): error TS1484: 'Service' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
tests/memory.test.ts(5,10): error TS1484: 'KnowledgeGraph' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
tests/memory.test.ts(6,10): error TS1484: 'Fact' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
